Deuteronilus contact/shoreline as seen in Perron et al. (2007) and Citron et al. (2018)
,longitude,latitude,distance (m),elevation (m)
0,-80.21,62.17,42830.0,-3806.0
1,-79.31,61.67,81666.0,-3793.9999999999995
2,-78.51,61.22,116380.0,-3688.0
3,-76.51,60.11,204140.0,-3691.0000000000005
4,-75.7,59.66,239640.0,-3694.0
5,-74.7,59.1,284240.0,-3694.0
6,-73.8,58.6,324720.0,-3708.9999999999995
7,-73.0,58.23,358050.0,-3739.0
8,-71.7,58.0,400920.0,-3745.0
9,-70.5,57.78,440720.0,-3803.0
10,-69.79,57.6,465390.0,-3803.0
11,-68.69,56.82,523400.0,-3833.0
12,-67.59,56.04,581860.0,-3836.0000000000005
13,-66.49,55.26,640780.0,-3818.0
14,-65.59,54.8,681590.0,-3824.0
15,-63.98,54.84,736200.0,-3945.0
16,-63.38,54.85,756670.0,-3970.0
17,-62.68,54.86,780530.0,-3997.0
18,-61.88,54.88,807790.0,-4030.0000000000005
19,-61.08,54.89,835070.0,-4048.0
20,-59.78,54.42,887580.0,-4051.9999999999995
21,-59.07,54.13,917190.0,-4027.0
22,-58.17,53.76,955400.0,-4014.9999999999995
23,-57.37,53.43,989600.0,-4045.0
24,-56.57,53.11,1023900.0,-4006.0
25,-56.07,52.9,1045500.0,-3994.0
26,-54.87,52.41,1097600.0,-4027.0
27,-53.86,51.99,1141300.0,-4011.9999999999995
28,-52.96,51.62,1180800.0,-4021.0
29,-52.06,51.25,1220600.0,-3918.0
30,-51.36,50.97,1251600.0,-3961.0000000000005
31,-50.46,50.59,1291900.0,-4018.0
32,-48.65,49.84,1373400.0,-4051.9999999999995
33,-47.85,49.04,1429600.0,-4027.0
34,-47.35,48.49,1467500.0,-3976.0000000000005
35,-46.35,47.51,1537800.0,-4038.9999999999995
36,-45.85,47.1,1569100.0,-4042.0
37,-45.25,46.62,1606800.0,-4061.0
38,-44.85,46.29,1632000.0,-4014.9999999999995
39,-44.05,44.74,1729800.0,-4038.9999999999995
40,-43.44,44.15,1772500.0,-4021.0
41,-43.14,43.86,1794000.0,-4021.0
42,-43.04,43.77,1801100.0,-3994.0
43,-42.64,42.82,1859600.0,-3973.0000000000005
44,-42.34,41.8,1921200.0,-3933.0000000000005
45,-41.54,37.96,2150900.0,-3861.0
46,-41.44,37.82,2160600.0,-3985.0
47,-40.94,37.28,2200000.0,-3985.0
48,-40.54,36.86,2231600.0,-3927.0
49,-39.94,36.21,2279200.0,-3927.0
50,-39.64,35.89,2302900.0,-3945.0
51,-39.54,35.78,2310900.0,-3888.0
52,-39.14,35.36,2342700.0,-3833.0
53,-39.04,35.25,2350700.0,-3927.0
54,-38.94,34.74,2381400.0,-3981.9999999999995
55,-37.63,31.54,2580900.0,-3994.0
56,-34.73,31.07,2730200.0,-4048.0
57,-33.63,31.09,2786000.0,-4006.0
58,-31.92,30.46,2880200.0,-3938.9999999999995
59,-30.02,30.88,2980100.0,-4106.0
60,-28.52,31.21,3058700.0,-4045.0
61,-27.71,31.39,3100500.0,-4076.0000000000005
62,-27.11,31.66,3134700.0,-3967.0
63,-25.81,32.77,3227200.0,-4109.0
64,-25.31,33.03,3256400.0,-4188.0
65,-24.01,33.74,3333100.0,-4200.0
66,-22.91,34.47,3402500.0,-4203.0
67,-21.6,34.7,3467300.0,-4218.0
68,-20.4,35.06,3529300.0,-4064.0
69,-19.6,35.3,3570500.0,-4242.0
70,-18.8,35.54,3611600.0,-4230.0
71,-17.6,36.26,3683300.0,-4252.0
72,-16.49,37.09,3754800.0,-4318.000000000001
73,-15.09,38.14,3845100.0,-4282.0
74,-13.49,38.63,3924800.0,-4352.0
75,-12.29,38.85,3981800.0,-4263.999999999999
76,-10.68,38.62,4056900.0,-3930.0
77,-7.78,38.72,4191100.0000000005,-4033.0000000000005
78,-6.77,38.78,4237500.0,-3976.0000000000005
79,-5.47,38.87,4297600.0,-3842.0
80,-3.97,39.21,4369400.0,-3867.0
81,-1.77,40.91,4511200.0,-3945.0
82,-1.26,42.47,4605900.0,-4136.0
83,-0.66,43.05,4649200.0,-4109.0
84,0.4,44.09,4725400.0,-4038.0000000000005
85,0.8,44.48,4754000.0,-4258.999999999999
86,1.0,44.67,4768300.0,-4223.0
87,1.7,44.75,4798100.0,-4223.0
88,1.9,44.71,4806900.0,-4187.0
89,2.4,44.65,4828200.0,-4241.000000000001
90,3.01,45.23,4870700.0,-4181.0
91,4.21,45.26,4920700.0,-4184.0
92,5.41,45.29,4970800.0,-4120.0
93,6.51,45.89,5028300.0,-4165.0
94,6.61,45.96,5034300.0,-4180.0
95,7.01,46.96,5095300.0,-4080.0
96,7.11,47.31,5116900.0,-4258.999999999999
97,7.21,47.67,5138400.0,-4144.0
98,7.61,49.1,5224500.0,-4308.0
99,8.72,49.85,5285400.0,-4211.0
100,9.42,49.96,5312900.0,-4217.0
101,10.52,50.08,5355300.0,-4211.0
102,11.32,49.99,5386200.0,-4168.0
103,12.12,49.91,5417000.0,-4150.0
104,12.82,49.84,5444100.0,-4108.000000000001
105,14.13,49.7,5494500.0,-4117.0
106,15.53,49.55,5548800.0,-3989.0
107,16.53,49.45,5587800.0,-4022.0000000000005
108,17.53,49.34,5626800.0,-3986.0
109,18.53,49.69,5670500.0,-3862.0
110,19.24,50.19,5710100.0,-4006.9999999999995
111,19.54,50.4,5727100.0,-4050.0
112,20.04,50.76,5755200.0,-4022.0000000000005
113,20.84,51.33,5800100.0,-3977.0
114,22.44,52.46,5889100.0,-4016.0
115,24.05,53.6,5977100.0,-4080.0
116,25.45,54.59,6053300.0,-4016.0
117,28.15,56.51,6198200.0,-3998.0
118,30.66,56.81,6281500.0,-3971.0
119,33.66,56.83,6378700.0,-3825.0
120,36.37,56.39,6470400.0,-3970.0
121,38.07,55.52,6546600.0,-3952.0
122,38.77,55.17,6578300.0,-3881.9999999999995
123,39.27,54.41,6626000.0,-3767.0
124,39.67,53.8,6664900.0,-3719.0
125,40.08,53.43,6690800.0,-3661.0
126,40.18,53.41,6694500.0,-3651.9999999999995
127,40.98,53.23,6724600.0,-3658.0
128,42.38,52.93,6777500.0,-3643.0000000000005
129,43.78,52.63,6830800.0,-3533.0
130,44.88,52.39,6872900.0,-3573.0
131,46.09,52.13,6919000.0,-3573.0
132,47.09,51.91,6957600.0,-3643.0000000000005
133,48.29,51.67,7003800.0,-3655.0
134,49.69,51.7,7055300.0,-3603.0
135,51.0,51.73,7103000.0,-3485.0
136,52.7,51.6,7165900.0,-3551.0
137,54.8,50.84,7255900.0,-3393.9999999999995
138,56.01,50.4,7307900.0,-3469.0
139,57.01,50.03,7351500.0,-3591.0
140,58.21,49.64,7402900.0,-3576.0
141,59.11,49.45,7439300.0,-3554.0
142,59.91,49.28,7471800.0,-3448.0
143,60.71,49.11,7504300.0,-3466.0
144,61.52,48.94,7536900.0,-3530.0
145,62.72,48.22,7600200.0,-3427.0
146,62.92,47.42,7648200.0,-3451.0
147,63.52,46.73,7695600.0,-3451.0
148,63.72,46.5,7711400.0,-3345.0
149,64.42,45.7,7767000.0,-3363.0
150,65.42,45.0,7825400.0,-3323.0
151,66.12,44.66,7861000.0,-3421.0000000000005
152,66.62,44.59,7882400.0,-3436.0000000000005
153,67.23,44.53,7908000.0,-3313.9999999999995
154,68.03,44.49,7941900.0,-3411.0
155,68.43,44.55,7959100.0,-3398.9999999999995
156,69.33,44.68,7997900.0,-3351.0000000000005
157,69.93,44.66,8023200.0,-3827.0
158,71.03,44.38,8072400.0,-3421.0000000000005
159,72.34,44.06,8130900.0,-3466.0
160,73.24,43.83,8171500.0,-3445.0
161,73.84,43.68,8198700.000000001,-3423.0
162,75.24,43.33,8262299.999999999,-3487.0
163,76.14,43.1,8303400.0,-3463.0
164,76.94,41.53,8402400.0,-3618.0000000000005
165,77.35,41.36,8422800.0,-3583.9999999999995
166,78.25,40.98,8468800.0,-3583.9999999999995
167,78.65,40.81,8489300.0,-3598.9999999999995
168,79.45,40.47,8530500.0,-3609.0
169,79.85,40.2,8554600.0,-3636.0
170,80.55,39.72,8597200.0,-3608.0
171,81.15,39.31,8633800.0,-3581.0000000000005
172,81.85,38.83,8676600.0,-3602.0
173,82.86,38.51,8726600.0,-3718.0
174,83.26,38.48,8745300.0,-3645.0
175,83.56,38.45,8759300.0,-3718.0
176,84.16,38.4,8787200.0,-3733.0
177,84.66,38.32,8811000.0,-3671.9999999999995
178,85.16,37.85,8847100.0,-3718.0
179,85.66,37.38,8883400.0,-3727.0
180,86.06,36.98,8913900.0,-3748.0
181,86.36,36.5,8945600.0,-3723.9999999999995
182,86.86,35.71,8998100.0,-3730.0
183,87.46,35.15,9042000.0,-3733.0
184,87.56,35.06,9049400.0,-3748.0
185,88.07,34.59,9086100.0,-3760.0
186,88.67,34.03,9130200.0,-3800.0
187,89.17,33.57,9167100.0,-3787.0
188,89.47,33.29,9189300.0,-3766.0
189,90.27,32.54,9248600.0,-3784.0
190,90.97,31.89,9300700.0,-3824.0
191,91.67,31.24,9352900.0,-3853.9999999999995
192,92.37,30.59,9405400.0,-3851.0000000000005
193,92.57,30.4,9420400.0,-3690.0
194,92.87,26.65,9642500.0,-3775.0
195,92.97,27.45,9690200.0,-3766.0
196,93.98,24.48,9873700.0,-3608.0
197,94.28,24.33,9892100.0,-3557.0
198,94.68,24.14,9916600.0,-3614.0
199,94.88,24.04,9928900.0,-3566.0000000000005
200,95.38,23.53,9969700.0,-3566.0000000000005
201,95.58,23.27,9988400.0,-3575.0
202,95.78,23.09,10004000.0,-3569.0
203,96.18,22.73,10034000.0,-3554.0
204,96.38,22.55,10049000.0,-3551.0
205,96.58,22.37,10064000.0,-3541.0000000000005
206,97.18,21.97,10105000.0,-3569.0
207,97.78,21.88,10138000.0,-3554.0
208,97.98,21.85,10150000.0,-3572.0
209,98.18,21.82,10161000.0,-3575.0
210,98.48,21.78,10177000.0,-3526.0000000000005
211,98.79,21.73,10194000.0,-3490.0
212,98.99,21.7,10205000.0,-3538.0000000000005
213,99.29,21.66,10222000.0,-3550.0
214,99.69,21.6,10244000.0,-3498.9999999999995
215,100.09,21.54,10267000.0,-3535.0
216,100.29,21.51,10278000.0,-3541.0000000000005
217,100.59,21.47,10294000.0,-3605.0
218,100.99,21.4,10317000.0,-3605.0
219,101.09,21.35,10323000.0,-3635.0
220,101.59,21.08,10355000.0,-3635.0
221,101.99,20.87,10380000.0,-3586.9999999999995
222,102.49,20.77,10409000.0,-3598.9999999999995
223,102.69,20.73,10420000.0,-3508.0
224,103.09,20.64,10443000.0,-3605.0
225,103.39,20.58,10460000.0,-3468.0
226,103.49,20.56,10465000.0,-3413.9999999999995
227,103.9,20.51,10488000.0,-3563.0
228,104.4,20.46,10516000.0,-3575.0
229,104.9,20.38,10544000.0,-3596.0
230,105.2,20.26,10562000.0,-3651.0000000000005
231,105.7,20.05,10592000.0,-3626.0000000000005
232,105.9,19.97,10604000.0,-3556.0
233,106.2,19.9,10622000.0,-3529.0
234,106.6,19.82,10644000.0,-3526.0000000000005
235,107.2,19.71,10679000.0,-3514.0
236,107.6,19.63,10701000.0,-3556.0
237,108.0,19.62,10724000.0,-3556.0
238,108.5,19.79,10753000.0,-3550.0
239,109.11,19.98,10788000.0,-3517.0
240,109.61,20.14,10818000.0,-3572.0
241,110.01,20.11,10840000.0,-3586.9999999999995
242,110.41,19.97,10864000.0,-3581.0000000000005
243,110.71,19.86,10882000.0,-3572.0
244,111.11,19.72,10906000.0,-3483.0
245,111.51,19.59,10929000.0,-3447.0
246,111.71,19.55,10941000.0,-3483.0
247,112.21,19.45,10969000.0,-3546.9999999999995
248,112.91,19.3,11009000.0,-3578.0000000000005
249,113.41,19.2,11038000.0,-3628.9999999999995
250,113.61,19.16,11049000.0,-3583.9999999999995
251,113.91,19.1,11066000.0,-3529.0
252,114.42,19.03,11095000.0,-3535.0
253,114.72,19.02,11111000.0,-3520.0
254,115.02,19.0,11128000.0,-3511.0
255,115.62,18.78,11164000.0,-3498.9999999999995
256,116.22,18.5,11202000.0,-3583.9999999999995
257,116.42,18.41,11214000.0,-3535.0
258,116.62,18.25,11229000.0,-3483.0
259,117.12,17.78,11269000.0,-3365.0
260,117.42,17.79,11285000.0,-3456.0000000000005
261,118.02,17.82,11319000.0,-3441.0000000000005
262,118.52,17.85,11348000.0,-3465.0
263,119.02,17.84,11376000.0,-3505.0
264,119.83,17.47,11426000.0,-3489.0
265,119.93,17.42,11432000.0,-3520.0
266,120.63,17.09,11477000.0,-3426.0
267,120.73,17.04,11483000.0,-3458.9999999999995
268,121.13,16.85,11508000.0,-3426.0
269,121.53,16.83,11531000.0,-3495.0
270,121.63,16.84,11537000.0,-3456.0000000000005
271,122.13,16.9,11565000.0,-3359.0
272,122.33,16.92,11577000.0,-3395.0
273,122.63,16.95,11594000.0,-3461.9999999999995
274,123.13,17.01,11622000.0,-3523.0
275,123.43,17.04,11639000.0,-3523.0
276,124.23,16.75,11688000.0,-3471.0
277,124.93,16.39,11733000.0,-3486.0
278,125.84,16.14,11786000.0,-3503.9999999999995
279,126.44,15.98,11822000.0,-3498.0
280,135.15,25.42,12558000.0,-3793.0
281,135.25,25.51,12566000.0,-3541.0000000000005
282,135.96,26.12,12618000.0,-3498.0
283,136.26,26.59,12650000.0,-3518.9999999999995
284,136.46,26.97,12674000.0,-3816.9999999999995
285,137.06,28.08,12747000.0,-3486.0
286,137.36,28.98,12803000.0,-3368.0000000000005
287,137.66,29.78,12853000.0,-3714.0
288,138.36,30.33,12901000.0,-3407.0
289,138.56,30.49,12915000.0,-3530.0
290,139.26,32.0,13011000.0,-3868.0000000000005
291,139.76,32.37,13044000.0,-3844.0
292,139.96,32.51,13057000.0,-3911.0
293,140.76,32.71,13099000.0,-3868.0000000000005
294,141.06,32.72,13114000.0,-3847.0
295,141.47,32.74,13134000.0,-3731.9999999999995
296,142.47,32.79,13184000.0,-3747.0
297,143.17,32.82,13219000.0,-3768.0000000000005
298,143.87,32.85,13253000.0,-3832.0
299,144.87,32.9,13303000.0,-3735.0
300,145.67,32.94,13343000.0,-3606.9999999999995
301,146.27,33.09,13374000.0,-3635.0
302,147.08,33.42,13418000.0,-3688.9999999999995
303,147.88,33.48,13458000.0,-3738.0
304,148.78,33.34,13503000.0,-3703.9999999999995
